| Name                 | Version     | License                                              | URL                                                        |
|----------------------|-------------|------------------------------------------------------|------------------------------------------------------------|
| Jinja2               | 3.1.2       | BSD License                                          | https://palletsprojects.com/p/jinja/                       |
| MarkupSafe           | 2.1.3       | BSD License                                          | https://palletsprojects.com/p/markupsafe/                  |
| PyYAML               | 6.0.1       | MIT License                                          | https://pyyaml.org/                                        |
| annotated-types      | 0.5.0       | MIT License                                          | UNKNOWN                                                    |
| anyio                | 3.7.1       | MIT License                                          | https://anyio.readthedocs.io/en/stable/versionhistory.html |
| bcrypt               | 4.0.1       | Apache Software License                              | https://github.com/pyca/bcrypt/                            |
| certifi              | 2023.7.22   | Mozilla Public License 2.0 (MPL 2.0)                 | https://github.com/certifi/python-certifi                  |
| cffi                 | 1.15.1      | MIT License                                          | http://cffi.readthedocs.org                                |
| click                | 8.1.7       | BSD License                                          | https://palletsprojects.com/p/click/                       |
| colorama             | 0.4.6       | BSD License                                          | https://github.com/tartley/colorama                        |
| cryptography         | 41.0.3      | Apache Software License; BSD License                 | https://github.com/pyca/cryptography                       |
| dnspython            | 2.4.2       | ISC                                                  | https://www.dnspython.org                                  |
| ecdsa                | 0.18.0      | MIT                                                  | http://github.com/tlsfuzzer/python-ecdsa                   |
| email-validator      | 2.0.0.post2 | CC0 1.0 Universal (CC0 1.0) Public Domain Dedication | https://github.com/JoshData/python-email-validator         |
| fastapi              | 0.103.1     | MIT License                                          | https://github.com/tiangolo/fastapi                        |
| h11                  | 0.14.0      | MIT License                                          | https://github.com/python-hyper/h11                        |
| httpcore             | 0.17.3      | BSD License                                          | https://github.com/encode/httpcore                         |
| httptools            | 0.6.0       | MIT License                                          | https://github.com/MagicStack/httptools                    |
| httpx                | 0.24.1      | BSD License                                          | https://github.com/encode/httpx                            |
| idna                 | 3.4         | BSD License                                          | https://github.com/kjd/idna                                |
| iniconfig            | 2.0.0       | MIT License                                          | https://github.com/pytest-dev/iniconfig                    |
| itsdangerous         | 2.1.2       | BSD License                                          | https://palletsprojects.com/p/itsdangerous/                |
| neo4j                | 5.12.0      | Apache Software License                              | https://github.com/neo4j/neo4j-python-driver               |
| orjson               | 3.9.5       | Apache Software License; MIT License                 | https://github.com/ijl/orjson                              |
| packaging            | 23.1        | Apache Software License; BSD License                 | https://github.com/pypa/packaging                          |
| passlib              | 1.7.4       | BSD                                                  | https://passlib.readthedocs.io                             |
| pip                  | 23.2.1      | MIT License                                          | https://pip.pypa.io/                                       |
| pip-licenses         | 4.3.2       | MIT License                                          | https://github.com/raimon49/pip-licenses                   |
| pluggy               | 1.3.0       | MIT License                                          | https://github.com/pytest-dev/pluggy                       |
| prettytable          | 3.8.0       | BSD License                                          | https://github.com/jazzband/prettytable                    |
| pyasn1               | 0.5.0       | BSD License                                          | https://github.com/pyasn1/pyasn1                           |
| pycparser            | 2.21        | BSD License                                          | https://github.com/eliben/pycparser                        |
| pydantic             | 2.3.0       | MIT License                                          | https://github.com/pydantic/pydantic                       |
| pydantic-extra-types | 2.1.0       | MIT License                                          | https://github.com/pydantic/pydantic-extra-types           |
| pydantic-settings    | 2.0.3       | MIT License                                          | https://github.com/pydantic/pydantic-settings              |
| pydantic_core        | 2.6.3       | MIT License                                          | https://github.com/pydantic/pydantic-core                  |
| pytest               | 7.4.1       | MIT License                                          | https://docs.pytest.org/en/latest/                         |
| python-dotenv        | 1.0.0       | BSD License                                          | https://github.com/theskumar/python-dotenv                 |
| python-jose          | 3.3.0       | MIT License                                          | http://github.com/mpdavis/python-jose                      |
| python-multipart     | 0.0.6       | Apache Software License                              | https://github.com/andrew-d/python-multipart               |
| pytz                 | 2023.3      | MIT License                                          | http://pythonhosted.org/pytz                               |
| rsa                  | 4.9         | Apache Software License                              | https://stuvel.eu/rsa                                      |
| setuptools           | 68.1.2      | MIT License                                          | https://github.com/pypa/setuptools                         |
| six                  | 1.16.0      | MIT License                                          | https://github.com/benjaminp/six                           |
| sniffio              | 1.3.0       | Apache Software License; MIT License                 | https://github.com/python-trio/sniffio                     |
| starlette            | 0.27.0      | BSD License                                          | https://github.com/encode/starlette                        |
| typing_extensions    | 4.7.1       | Python Software Foundation License                   | https://github.com/python/typing_extensions                |
| ujson                | 5.8.0       | BSD License                                          | https://github.com/ultrajson/ultrajson                     |
| uvicorn              | 0.23.2      | BSD License                                          | https://www.uvicorn.org/                                   |
| watchfiles           | 0.20.0      | MIT License                                          | https://github.com/samuelcolvin/watchfiles/watchfiles      |
| wcwidth              | 0.2.6       | MIT License                                          | https://github.com/jquast/wcwidth                          |
| websockets           | 11.0.3      | BSD License                                          | https://github.com/aaugustin/websockets                    |
| wheel                | 0.41.2      | MIT License                                          | https://wheel.readthedocs.io/en/stable/news.html           |
